test,label_flipped_up_down,verification
000,0,auto (strain match)
001,0,auto (strain match)
002,1,auto (strain match)
003,0,visual review
004,0,auto (strain match)
005,1,auto (strain match)
006,1,visual review
007,0,weak signal (best estimate)
008,1,weak signal (best estimate)
009,1,auto (strain match)
010,1,auto (strain match)
011,0,weak signal (best estimate)
012,1,auto (strain match)
013,1,auto (strain match)
014,0,auto (near-symmetric digit)
015,1,weak signal (best estimate)
016,1,auto (strain match)
017,1,auto (strain match)
018,0,auto (strain match)
019,1,visual review
020,1,auto (strain match)
021,1,auto (strain match)
022,1,auto (strain match)
023,1,visual review
024,1,auto (strain match)
025,1,auto (near-symmetric digit)
026,1,auto (strain match)
027,1,visual review
028,1,auto (strain match)
029,1,auto (strain match)
030,1,auto (strain match)
031,1,visual review
032,1,auto (strain match)
033,1,auto (strain match)
034,1,auto (strain match)
035,1,visual review
036,1,auto (strain match)
037,1,weak signal (best estimate)
038,1,auto (strain match)
039,1,weak signal (best estimate)
040,1,weak signal (best estimate)
041,1,auto (near-symmetric digit)
042,1,auto (strain match)
043,1,weak signal (best estimate)
044,1,auto (strain match)
045,1,auto (strain match)
046,1,auto (strain match)
047,1,visual review
048,1,auto (strain match)
049,1,auto (strain match)
050,1,auto (strain match)
051,1,weak signal (best estimate)
052,1,auto (strain match)
053,1,auto (strain match)
054,1,auto (strain match)
055,1,weak signal (best estimate)
056,1,visual review
057,1,auto (strain match)
058,1,auto (strain match)
059,1,visual review
060,1,auto (strain match)
061,1,auto (strain match)
062,1,auto (strain match)
063,0,weak signal (best estimate)
064,1,auto (strain match)
065,1,auto (strain match)
066,1,auto (strain match)
067,0,weak signal (best estimate)
068,0,weak signal (best estimate)
069,1,auto (strain match)
070,1,auto (strain match)
071,1,visual review
072,0,weak signal (best estimate)
073,1,auto (strain match)
074,1,visual review
075,1,auto (strain match)
076,1,auto (strain match)
077,1,weak signal (best estimate)
078,1,visual review
079,1,auto (strain match)
080,1,weak signal (best estimate)
081,1,auto (strain match)
082,0,auto (near-symmetric digit)
083,1,auto (strain match)
084,1,auto (strain match)
085,1,weak signal (best estimate)
086,0,auto (strain match)
087,1,weak signal (best estimate)
088,1,auto (strain match)
089,1,auto (strain match)
